Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,0,Travel_Rarely,1102,Research & Development,5,3,Life Sciences,4,Male,94,3,2,Research Scientist,4,Married,6200,19479,2,No,11,3,3,1,10,2,3,6,4,1,5
29,1,Travel_Frequently,950,Sales,12,2,Marketing,2,Female,61,2,1,Sales Executive,2,Single,4200,16555,1,Yes,15,3,2,0,5,3,2,2,1,0,1
41,0,Non-Travel,1450,Human Resources,3,4,Human Resources,3,Female,88,4,3,HR Manager,4,Married,9800,21000,5,No,18,4,4,2,18,2,4,10,7,3,8
37,0,Travel_Rarely,1210,Research & Development,7,3,Technical Degree,4,Male,79,3,2,Laboratory Technician,3,Divorced,5400,18000,3,No,13,3,3,1,12,4,3,8,5,2,6
25,1,Travel_Frequently,870,Sales,15,2,Marketing,1,Male,58,2,1,Sales Representative,1,Single,3200,14000,0,Yes,12,3,1,0,2,2,2,1,0,0,0
45,0,Travel_Rarely,1355,Research & Development,9,5,Medical,4,Female,92,4,4,Manager,4,Married,15000,25000,6,No,20,4,4,3,22,5,4,15,10,4,12
31,0,Travel_Rarely,990,Sales,4,3,Life Sciences,3,Male,73,3,2,Sales Executive,3,Married,6100,17500,2,No,14,3,3,1,8,3,3,5,3,1,4
28,1,Travel_Frequently,780,Research & Development,18,2,Technical Degree,2,Female,66,2,1,Research Scientist,2,Single,3900,15000,1,Yes,16,3,2,0,4,2,2,2,1,0,1
39,0,Non-Travel,1420,Research & Development,6,4,Life Sciences,4,Male,85,4,3,Healthcare Representative,4,Married,11200,22000,4,No,19,4,4,2,16,3,4,11,8,3,9
33,0,Travel_Rarely,1185,Sales,10,3,Marketing,3,Female,75,3,2,Sales Executive,3,Divorced,6800,18500,3,No,13,3,3,1,9,3,3,6,4,1,5
27,1,Travel_Frequently,810,Research & Development,20,2,Medical,1,Male,59,2,1,Laboratory Technician,2,Single,3500,14500,1,Yes,11,3,1,0,3,2,2,1,0,0,0
42,0,Travel_Rarely,1500,Research & Development,8,5,Life Sciences,4,Female,91,4,4,Research Director,4,Married,16500,27000,7,No,21,4,4,3,24,4,4,14,11,5,13
36,0,Travel_Rarely,1125,Human Resources,5,3,Human Resources,3,Male,77,3,2,Human Resources,3,Married,5900,17800,2,No,14,3,3,1,11,3,3,7,5,2,6
30,1,Travel_Frequently,920,Sales,14,2,Marketing,2,Female,63,2,1,Sales Representative,2,Single,4100,16000,1,Yes,15,3,2,0,5,2,2,2,1,0,1
48,0,Non-Travel,1605,Research & Development,2,5,Medical,4,Male,95,4,5,Manager,4,Married,18500,30000,8,No,23,4,4,3,28,5,4,20,15,6,17
32,0,Travel_Rarely,1040,Research & Development,6,3,Technical Degree,3,Female,72,3,2,Research Scientist,3,Married,6300,18200,2,No,13,3,3,1,9,3,3,5,3,1,4
26,1,Travel_Frequently,760,Sales,16,2,Marketing,1,Male,57,2,1,Sales Representative,1,Single,3000,13800,0,Yes,12,3,1,0,2,2,1,1,0,0,0
40,0,Travel_Rarely,1380,Research & Development,7,4,Life Sciences,4,Female,87,4,3,Manufacturing Director,4,Married,11800,22500,5,No,18,4,4,2,17,4,4,12,9,4,10
35,0,Travel_Rarely,1170,Sales,9,3,Marketing,3,Male,74,3,2,Sales Executive,3,Divorced,7100,19000,3,No,14,3,3,1,10,3,3,7,5,2,6
24,1,Travel_Frequently,700,Research & Development,22,1,Life Sciences,1,Female,55,1,1,Laboratory Technician,1,Single,2800,13000,0,Yes,10,3,1,0,1,1,1,0,0,0,0
